Time	ms	Pane1-EM102A_flow	Pane1-EM102A_power	Pane1-EM102A_retTemp	Pane1-EM102A_suppTemp	Pane1-PT102A1_pv	Pane1-PT102A2_pv
45359.0625	0	6,059.4911622	12,789.1211315	11.6519686	5.2837371	4.03653	5.80535
45359.069444444445253	0	6,053.4968583	12,831.6630525	11.663723	5.2691759	4.03042	5.80671
45359.076388888890506	0	6,017.6436063	12,750.5122815	11.6682275	5.2763572	4.03716	5.79749
45359.083333333335759	0	6,030.6127417	12,779.615528	11.6674151	5.2577999	4.03139	5.80736
45359.090277777781012	0	6,098.1944503	12,870.4918685	11.6475057	5.2601703	4.03298	5.8058001
45359.097222222218988	0	6,100.1436596	12,868.599736	11.6259668	5.2611984	4.03736	5.80142
45359.104166666664241	0	6,084.901526	12,834.920031	11.621259	5.2568761	4.0317899	5.80491
45359.111111111109494	0	6,068.8198657	12,759.5881215	11.611439	5.2677394	4.03511	5.79996
45359.118055555554747	0	6,022.0035692	12,689.829095	11.6076044	5.2501675	4.02978	5.81353
45359.125	0	6,093.5721165	12,827.995194	11.6047994	5.2536026	4.03069	5.81565
45359.131944444445253	0	6,051.2222729	12,724.9005845	11.5946134	5.2500661	4.0369899	5.81375
45359.138888888890506	0	5,942.88814	12,496.7151885	11.5804766	5.2365835	4.0315499	5.82096
45359.145833333335759	0	5,898.2647827	12,351.5396105	11.5698441	5.2520706	4.03348	5.81511
45359.152777777781012	0	5,937.6101949	12,439.8553365	11.56592	5.2426618	4.03155	5.8159499
45359.159722222218988	0	6,002.393972	12,548.435284	11.555165	5.2447834	4.0303	5.8107999
45359.166666666664241	0	5,961.1167725	12,458.276337	11.5586917	5.2530726	4.0337199	5.80817
45359.173611111109494	0	5,886.5476562	12,341.1957965	11.5624198	5.2376521	4.0267	5.81624
45359.180555555554747	0	5,940.4548825	12,413.65219	11.5438246	5.2394292	4.02933	5.81135
45359.1875	0	5,991.4613181	12,521.695554	11.5328513	5.2275064	4.0271501	5.81544
45359.194444444445253	0	6,010.8748781	12,532.393305	11.527123	5.2365756	4.02976	5.81273
45359.201388888890506	0	6,092.5595313	12,644.703458	11.5039469	5.2421903	4.03027	5.80847
45359.208333333335759	0	6,057.6164233	12,551.7360895	11.4728987	5.2210587	4.0214	5.8191699
45359.215277777781012	0	5,980.7848829	12,327.85028	11.4554241	5.236637	4.03647	5.8148899
45359.222222222218988	0	5,950.1926588	12,259.177979	11.4490475	5.2332377	4.04032	5.81744
45359.229166666664241	0	5,984.0148513	12,315.736701	11.4480813	5.2384162	4.03453	5.8163499
45359.236111111109494	0	6,063.1765188	12,447.980206	11.4473006	5.2534186	4.0414201	5.8115499
